location_id,activity_date,revenue_amount
L164,2024-01-04,11.13
L071,2024-01-08,59.69
L189,2024-01-04,170.79
L140,2024-01-03,149.67
L009,2024-01-01,27.96
L060,2024-01-17,152.49
L144,2024-01-07,180.42
L180,2024-01-18,107.78
L115,2024-01-19,73.16
L002,2024-01-25,202.43
L179,2024-01-14,88.36
L040,2024-01-07,239.52
L087,2024-01-04,27.72
L025,2024-01-12,212.64
L155,2024-01-09,202.75
L187,2024-01-15,136.38
L097,2024-01-03,140.25
L161,2024-01-20,221.94
L093,2024-01-19,52.11
L018,2024-01-02,167.01
L198,2024-01-10,246.38
L060,2024-01-28,29.75
L072,2024-01-15,160.74
L094,2024-01-06,95.69
L054,2024-01-22,70.41
L175,2024-01-21,22.49
L163,2024-01-06,135.86
L063,2024-01-06,118.25
L070,2024-01-30,161.8
L143,2024-01-08,172.73
L197,2024-01-25,18.7
L009,2024-01-26,82.29
L069,2024-01-03,56.69
L146,2024-01-29,180.89
L055,2024-01-21,127.31
L165,2024-01-15,40.0
L036,2024-01-08,187.52
L138,2024-01-09,188.02
L110,2024-01-29,147.97
L093,2024-01-08,249.34
L036,2024-01-17,125.91
L194,2024-01-02,215.97
L040,2024-01-21,44.2
L175,2024-01-14,151.12
L099,2024-01-13,150.99
L120,2024-01-17,66.6
L142,2024-01-28,235.9
L175,2024-01-24,33.07
L138,2024-01-25,70.37
L165,2024-01-11,32.33
L112,2024-01-06,116.16
L185,2024-01-29,181.32
L129,2024-01-25,48.77
L028,2024-01-28,158.2
L164,2024-01-17,154.2
L040,2024-01-12,191.82
L139,2024-01-25,231.0
L001,2024-01-20,84.42
L005,2024-01-04,232.63
L079,2024-01-08,19.19
L146,2024-01-03,25.99
L125,2024-01-27,21.96
L195,2024-01-18,192.63
L033,2024-01-22,121.44
L141,2024-01-06,69.94
L156,2024-01-14,241.27
L139,2024-01-25,183.83
L052,2024-01-23,81.37
L172,2024-01-21,96.49
L133,2024-01-15,34.65
L058,2024-01-03,87.83
L151,2024-01-18,61.38
L057,2024-01-01,22.39
L162,2024-01-02,61.09
L009,2024-01-28,85.95
L132,2024-01-08,73.23
L125,2024-01-07,137.11
L186,2024-01-30,221.18
L148,2024-01-16,64.53
L122,2024-01-26,104.73
L025,2024-01-04,166.45
L091,2024-01-14,105.72
L187,2024-01-02,169.97
L166,2024-01-04,19.85
L187,2024-01-11,201.15
L028,2024-01-08,51.94
L138,2024-01-15,39.34
L047,2024-01-09,118.34
L020,2024-01-15,202.97
L141,2024-01-04,17.39
L139,2024-01-27,8.62
L024,2024-01-30,189.62
L061,2024-01-06,104.57
L124,2024-01-07,216.84
L016,2024-01-06,97.85
L100,2024-01-09,232.0
L117,2024-01-10,108.64
L188,2024-01-26,141.16
L184,2024-01-16,42.93
L076,2024-01-07,242.33
L149,2024-01-24,137.84
L192,2024-01-11,19.01
L150,2024-01-16,128.2
L136,2024-01-06,18.94
L131,2024-01-03,213.58
L018,2024-01-20,21.65
L061,2024-01-13,34.37
L146,2024-01-08,146.84
L011,2024-01-20,25.09
L169,2024-01-19,143.48
L081,2024-01-30,68.89
L172,2024-01-23,81.98
L068,2024-01-13,37.07
L166,2024-01-10,117.02
L193,2024-01-30,22.77
L118,2024-01-20,249.62
L026,2024-01-03,136.72
L130,2024-01-09,37.45
L090,2024-01-29,21.85
L063,2024-01-12,74.82
L113,2024-01-27,138.09
L078,2024-01-20,246.04
L168,2024-01-17,6.92
L142,2024-01-10,233.28
L027,2024-01-29,37.9
L030,2024-01-29,31.22
L142,2024-01-05,71.73
L155,2024-01-07,180.81
L053,2024-01-22,160.39
L068,2024-01-17,124.69
L014,2024-01-03,160.4
L071,2024-01-02,5.87
L198,2024-01-05,161.09
L068,2024-01-06,186.6
L142,2024-01-23,109.78
L003,2024-01-04,23.43
L177,2024-01-29,41.52
L010,2024-01-27,95.46
L142,2024-01-05,110.3
L011,2024-01-10,94.34
L011,2024-01-29,92.66
L175,2024-01-08,168.4
L091,2024-01-25,142.17
L105,2024-01-20,188.62
L061,2024-01-28,44.81
L046,2024-01-29,106.01
L046,2024-01-24,231.5
L106,2024-01-26,169.13
L189,2024-01-26,65.8
L041,2024-01-26,176.81
L098,2024-01-28,14.49
L121,2024-01-08,53.9
L118,2024-01-12,79.77
L059,2024-01-08,10.8
L050,2024-01-13,85.42
L018,2024-01-25,73.39
L165,2024-01-17,102.92
L138,2024-01-11,235.11
L030,2024-01-29,242.75
L046,2024-01-19,240.82
L068,2024-01-02,31.56
L112,2024-01-12,183.49
L081,2024-01-14,153.52
L131,2024-01-04,99.37
L148,2024-01-07,67.41
L182,2024-01-14,5.41
L138,2024-01-22,181.26
L190,2024-01-24,169.3
L094,2024-01-14,22.14
L171,2024-01-30,85.9
L081,2024-01-22,212.76
L185,2024-01-29,78.58
L080,2024-01-22,105.06
L104,2024-01-23,77.44
L033,2024-01-07,108.01
L098,2024-01-22,188.29
L045,2024-01-20,144.43
L104,2024-01-18,209.26
L078,2024-01-10,56.49
L149,2024-01-20,165.4
L120,2024-01-15,113.33
L055,2024-01-17,120.93
L189,2024-01-06,166.42
L073,2024-01-17,167.64
L159,2024-01-11,27.88
L193,2024-01-08,169.83
L058,2024-01-26,53.79
L007,2024-01-02,64.99
L122,2024-01-20,213.19
L019,2024-01-15,106.54
L162,2024-01-19,52.64
L179,2024-01-13,126.12
L063,2024-01-05,165.73
L002,2024-01-29,188.99
L198,2024-01-29,31.11
L109,2024-01-08,48.09
L179,2024-01-17,118.81
L143,2024-01-08,229.78
L032,2024-01-15,37.67
