location_id,activity_date,revenue_amount
SK1,2024-01-19,209.85
SK1,2024-01-03,143.72
SK1,2024-01-15,26.6
SK1,2024-01-30,27.19
SK1,2024-01-24,26.17
SK1,2024-01-11,149.83
SK1,2024-01-01,192.85
SK1,2024-01-26,7.56
SK1,2024-01-21,96.76
SK1,2024-01-03,219.91
SK1,2024-01-08,80.41
SK1,2024-01-22,162.37
SK1,2024-01-29,216.82
SK1,2024-01-24,190.18
SK1,2024-01-05,81.07
SK1,2024-01-13,177.95
SK1,2024-01-06,73.35
SK1,2024-01-19,82.31
SK1,2024-01-08,209.64
SK1,2024-01-09,221.47
SK1,2024-01-06,244.92
SK1,2024-01-09,175.9
SK1,2024-01-09,27.64
SK1,2024-01-12,146.78
SK1,2024-01-12,194.23
SK1,2024-01-17,115.17
SK1,2024-01-21,173.32
SK1,2024-01-06,14.0
SK1,2024-01-27,148.38
SK1,2024-01-05,136.8
SK1,2024-01-07,248.47
SK1,2024-01-14,90.0
SK1,2024-01-26,172.09
SK1,2024-01-10,55.82
SK1,2024-01-23,242.28
SK1,2024-01-18,208.32
SK1,2024-01-26,70.89
SK1,2024-01-17,194.49
SK1,2024-01-09,58.47
SK1,2024-01-09,12.7
SK1,2024-01-04,131.67
SK1,2024-01-21,50.67
SK1,2024-01-05,119.48
SK1,2024-01-11,96.21
SK1,2024-01-13,166.28
SK1,2024-01-29,13.29
SK1,2024-01-23,30.63
SK1,2024-01-12,217.99
SK1,2024-01-01,43.89
SK1,2024-01-16,87.0
SK1,2024-01-21,226.23
SK1,2024-01-06,228.72
SK1,2024-01-10,44.87
SK1,2024-01-18,50.61
SK1,2024-01-01,112.56
SK1,2024-01-20,116.83
SK1,2024-01-19,175.15
SK1,2024-01-24,102.84
SK1,2024-01-27,64.68
SK1,2024-01-24,96.44
SK1,2024-01-11,123.23
SK1,2024-01-13,78.54
SK1,2024-01-30,219.97
SK1,2024-01-25,234.01
SK1,2024-01-30,129.21
SK1,2024-01-14,109.34
SK1,2024-01-09,238.73
SK1,2024-01-13,150.3
SK1,2024-01-06,130.49
SK1,2024-01-30,78.64
SK1,2024-01-20,241.48
SK1,2024-01-17,53.62
SK1,2024-01-19,189.2
SK1,2024-01-05,167.53
SK1,2024-01-26,240.18
SK1,2024-01-03,80.77
SK1,2024-01-25,39.66
SK1,2024-01-12,117.38
SK1,2024-01-06,117.84
SK1,2024-01-22,41.14
SK1,2024-01-29,47.16
SK1,2024-01-10,24.69
SK1,2024-01-08,215.15
SK1,2024-01-14,27.09
SK1,2024-01-08,42.76
SK1,2024-01-18,212.19
SK1,2024-01-12,6.21
SK1,2024-01-06,89.45
SK1,2024-01-16,139.71
SK1,2024-01-13,176.2
SK1,2024-01-30,120.71
SK1,2024-01-13,208.68
SK1,2024-01-23,64.47
SK1,2024-01-30,28.48
SK1,2024-01-05,83.0
SK1,2024-01-30,37.71
SK1,2024-01-25,85.14
SK1,2024-01-10,205.85
SK1,2024-01-24,218.81
SK1,2024-01-20,101.49
SK1,2024-01-03,89.98
SK1,2024-01-22,186.41
SK1,2024-01-19,11.59
SK1,2024-01-29,154.09
SK1,2024-01-25,62.61
SK1,2024-01-12,88.26
SK1,2024-01-27,5.39
SK1,2024-01-20,189.16
SK1,2024-01-30,23.93
SK1,2024-01-08,38.83
SK1,2024-01-07,15.84
SK1,2024-01-10,111.67
SK1,2024-01-11,99.1
SK1,2024-01-06,109.3
SK1,2024-01-10,81.22
SK1,2024-01-22,206.21
SK1,2024-01-02,68.95
SK1,2024-01-14,48.98
SK1,2024-01-13,172.17
SK1,2024-01-27,31.08
SK1,2024-01-26,25.25
SK1,2024-01-22,184.5
SK1,2024-01-21,216.3
SK1,2024-01-26,202.69
SK1,2024-01-06,83.16
SK1,2024-01-19,129.21
SK1,2024-01-22,116.4
SK1,2024-01-16,165.19
SK1,2024-01-22,103.42
SK1,2024-01-25,18.36
SK1,2024-01-14,68.37
SK1,2024-01-21,33.41
SK1,2024-01-26,201.59
SK1,2024-01-15,128.01
SK1,2024-01-25,121.02
SK1,2024-01-11,211.82
SK1,2024-01-12,32.36
SK1,2024-01-06,245.28
SK1,2024-01-18,191.1
SK1,2024-01-28,170.31
SK1,2024-01-05,6.7
SK1,2024-01-30,178.35
SK1,2024-01-09,53.42
SK1,2024-01-27,155.56
SK1,2024-01-28,116.47
SK1,2024-01-02,118.87
SK1,2024-01-02,34.78
SK1,2024-01-16,117.76
SK1,2024-01-02,222.85
SK1,2024-01-22,95.48
SK1,2024-01-14,87.68
SK1,2024-01-10,192.87
SK1,2024-01-01,137.97
SK1,2024-01-06,76.84
SK1,2024-01-14,9.29
